,Brazil.cl,Brazil.servers,China.cl,China.servers,India.cl,India.servers,Japan.cl,Japan.servers,USA.cl,USA.servers,avg.sess.time,local.req,range,tot.cl,tot.cost,tot.servers
00:20:01,1116,1,653,1,698,2,1883,1,7286,1,19.346551039224995,35,0,11636,1.2768,6
00:40:00,1199,1,615,1,699,2,1928,1,7289,2,20.381915530762107,36,1,11730,1.4752,7
01:00:01,1128,1,648,1,702,2,1900,1,7712,2,22.26138079792295,40,2,12090,1.4752,7
01:20:00,687,2,13109,2,431,3,1845,2,2257,2,27.7398446295874,40,3,18329,2.3744,11
01:40:00,690,2,12723,2,424,3,1805,2,2300,2,28.555521858106346,40,4,17942,2.3744,11
02:00:00,713,2,12826,3,409,3,1813,3,2202,3,28.173728867188196,43,5,17963,3.024,14
02:20:00,230,2,12369,3,448,3,2315,3,1394,3,17.222507964863667,46,6,16756,3.024,14
02:40:00,220,2,12835,3,420,3,2144,3,1358,3,17.623194563022057,48,7,16977,3.024,14
03:00:01,221,2,12748,3,444,3,2320,3,1310,3,16.77632059719787,50,8,17043,3.024,14
03:20:00,222,2,15352,3,425,3,3116,3,432,3,19.625571816743832,50,9,19547,3.024,14
03:40:00,229,2,15205,3,412,3,3072,3,452,3,20.920481169383194,51,10,19370,3.024,14
04:00:00,228,2,14207,3,454,3,3084,3,433,3,17.338701523826177,51,11,18406,3.024,14
04:20:00,230,5,21186,6,8854,6,3193,6,441,6,29.235447917451047,52,12,33904,6.316800000000001,29
04:40:00,226,5,20994,6,8996,6,3284,6,429,6,22.3167972661806,53,13,33929,6.316800000000001,29
05:00:00,236,5,22935,6,9520,6,3482,6,441,6,13.712033223257707,55,14,36614,6.316800000000001,29
05:20:00,181,5,23416,6,8743,6,3217,6,464,6,14.1583011795411,57,15,36021,6.316800000000001,29
05:40:00,179,5,23172,6,8722,6,2961,6,447,6,16.00016795569717,58,16,35481,6.316800000000001,29
06:00:00,191,5,22990,6,8803,6,3125,6,477,6,14.953399431279125,59,17,35586,6.316800000000001,29
06:20:01,190,5,21477,6,10637,6,2814,6,365,6,18.678849700013668,60,18,35483,6.316800000000001,29
06:40:00,186,5,22268,6,10224,6,2869,6,368,6,13.811413429194952,60,19,35915,6.316800000000001,29
07:00:00,180,5,21519,6,10179,6,2915,6,368,6,13.769597152563753,61,20,35161,6.316800000000001,29
07:20:01,178,5,20485,6,15074,6,3749,6,344,6,12.653733992443483,62,21,39830,6.316800000000001,29
07:40:00,183,5,20063,6,14796,6,3814,6,376,6,21.104588391831417,62,22,39232,6.316800000000001,29
08:00:01,183,5,20504,6,14483,6,3753,6,376,6,20.927304698015167,63,23,39299,6.316800000000001,29
08:20:00,192,5,25297,6,15379,6,4394,6,352,6,22.52262366797313,62,24,45614,6.316800000000001,29
08:40:00,186,7,26132,7,15241,8,4438,8,371,8,24.016765295692515,62,25,46368,8.2784,38
09:00:00,183,7,25786,7,15786,8,4420,8,378,8,21.726228789662787,62,26,46553,8.2784,38
09:20:00,122,7,31548,7,14435,8,3712,8,366,8,21.808495760568555,62,27,50183,8.2784,38
09:40:00,115,7,30950,7,14248,8,3875,8,358,8,21.762060139739344,61,28,49546,8.2784,38
10:00:00,114,7,32458,7,14180,8,3737,8,352,8,21.71867915628654,61,29,50841,8.2784,38
10:20:00,111,7,27752,7,14280,8,3520,8,211,8,22.378454925410264,61,30,45874,8.2784,38
10:40:00,117,7,26150,7,13311,8,3500,8,215,8,14.660422960186475,62,31,43293,8.2784,38
11:00:00,117,7,25811,7,13982,8,3438,8,223,8,13.298942621262464,62,32,43571,8.2784,38
11:20:00,115,7,25322,7,17233,8,2831,8,215,8,12.637762908328087,63,33,45716,8.2784,38
11:40:00,115,7,23775,7,17731,8,3006,8,230,8,19.644482448984004,63,34,44857,8.2784,38
12:00:01,121,7,23675,7,17665,8,2972,8,222,8,22.21082124881088,63,35,44655,8.2784,38
12:20:01,2322,7,20442,7,21781,8,941,8,234,8,14.740658499038991,63,36,45720,8.2784,38
12:40:00,2488,7,20557,7,21439,8,947,8,235,8,3.0474553074791983,65,37,45666,8.2784,38
13:00:00,2277,7,21706,7,20559,8,903,8,223,8,11.299789539914267,65,38,45668,8.2784,38
13:20:04,2380,7,6682,7,18089,8,528,8,4533,8,1.8532345805376307,66,39,32212,8.2784,38
13:40:03,2332,7,6249,7,19312,8,547,8,4367,8,1.5974908178221163,67,40,32807,8.2784,38
14:00:00,2282,7,6314,7,19222,8,526,8,4550,8,1.6155432462279342,68,41,32894,8.2784,38
14:20:04,2703,7,3933,7,16538,8,176,8,4461,8,1.5914428695431468,68,42,27811,8.2784,38
14:40:01,2788,7,3804,7,16698,8,175,8,4643,8,1.5808649791466538,69,43,28108,8.2784,38
15:00:04,2846,7,3927,7,15739,8,181,8,4474,8,1.5811983368313942,69,44,27167,8.2784,38
15:20:01,3954,7,1206,7,13878,8,186,8,5496,8,1.5736345288218372,70,45,24720,8.2784,38
15:40:02,4015,7,1260,7,13394,8,192,8,5377,8,1.5631974812503635,70,46,24238,8.2784,38
16:00:04,3782,7,1315,7,14242,8,187,8,5011,8,1.5650876633310797,71,47,24537,8.2784,38
16:20:09,4041,7,1276,7,4420,8,190,8,7830,8,1.5345972374094379,71,48,17757,8.2784,38
16:40:02,4126,7,1339,7,4378,8,180,8,7717,8,1.5351866708845332,71,49,17740,8.2784,38
17:00:06,3993,7,1272,7,4470,8,186,8,7819,8,1.5310313476698274,72,50,17740,8.2784,38
17:20:03,4235,7,1253,7,2642,8,143,8,8137,8,1.537415447419851,72,51,16410,8.2784,38
17:40:05,4029,7,1338,7,2506,8,146,8,8294,8,1.5358671415600549,72,52,16313,8.2784,38
18:00:02,4247,7,1232,7,2543,8,147,8,7941,8,1.5439837880766414,72,53,16110,8.2784,38
18:20:03,3680,7,954,7,848,8,148,8,7676,8,1.5286282098052775,73,54,13306,8.2784,38
18:40:02,3583,7,984,7,840,8,146,8,7410,8,1.525314897062005,73,55,12963,8.2784,38
19:00:02,3578,7,1038,7,844,8,138,8,7884,8,1.5291043756082767,73,56,13482,8.2784,38
19:20:07,4573,7,992,7,847,8,148,8,7203,8,1.5422902232249809,73,57,13763,8.2784,38
19:40:05,4413,7,1037,7,864,8,146,8,7243,8,1.5330849431051825,74,58,13703,8.2784,38
20:00:02,4568,7,1014,7,835,8,145,8,6967,8,1.5322983748836214,74,59,13529,8.2784,38
20:20:08,5343,7,1015,7,838,8,152,8,9093,8,1.54832960044738,74,60,16441,8.2784,38
20:40:01,5565,7,1002,7,815,8,153,8,8756,8,1.539318588038094,74,61,16291,8.2784,38
21:00:01,5674,7,990,7,811,8,146,8,9558,8,1.5493553677858023,74,62,17179,8.2784,38
21:20:05,5020,7,1040,7,683,8,91,8,11262,8,1.549728513386106,75,63,18096,8.2784,38
21:40:02,5044,7,1056,7,705,8,91,8,10930,8,1.5586605943255933,75,64,17826,8.2784,38
22:00:12,4989,7,1072,7,714,8,92,8,10878,8,1.5514989964782961,75,65,17745,8.2784,38
22:20:04,4449,7,655,7,695,8,88,8,9330,8,1.5506899664681062,75,66,15217,8.2784,38
22:40:00,4534,7,631,7,693,8,96,8,9257,8,1.547329389939574,76,67,15211,8.2784,38
23:00:03,4355,7,619,7,662,8,94,8,9741,8,1.5459215526941925,76,68,15471,8.2784,38
23:20:03,3686,7,620,7,661,8,92,8,8321,8,1.5359615548155001,76,69,13380,8.2784,38
23:40:01,3774,7,630,7,716,8,92,8,8605,8,1.5371350755409627,76,70,13817,8.2784,38
00:00:09,3709,7,665,7,690,8,94,8,8692,8,1.5436803786362616,76,71,13850,8.2784,38
00:20:00,1098,7,660,7,677,8,1890,8,7115,8,1.5229232991534916,76,72,11440,8.2784,38
00:40:00,1168,7,621,7,683,8,1934,8,7453,8,1.553008518904136,76,73,11859,8.2784,38
01:00:00,1113,7,631,7,690,8,1807,8,7181,8,1.5321765424838558,77,74,11422,8.2784,38
01:20:00,686,7,13713,7,439,8,1816,8,2210,8,1.5960904252867594,77,75,18864,8.2784,38
01:40:00,704,7,13320,7,436,8,1851,8,2201,8,1.5729281833474682,77,76,18512,8.2784,38
02:00:00,689,7,13608,7,405,8,1880,8,2159,8,1.5949504275109097,77,77,18741,8.2784,38
02:20:00,232,7,13240,7,431,8,2248,8,1387,8,1.5892153940586204,77,78,17538,8.2784,38
02:40:01,231,7,13583,7,424,8,2228,8,1337,8,1.598970454099259,78,79,17803,8.2784,38
03:00:00,230,7,12983,7,411,8,2300,8,1347,8,1.5826613752165082,78,80,17271,8.2784,38
03:20:00,235,7,16057,7,434,8,3173,8,448,8,1.617621325215053,78,81,20347,8.2784,38
03:40:01,225,7,14924,7,444,8,3217,8,461,8,1.6090576488914852,78,82,19271,8.2784,38
04:00:01,222,7,15686,7,412,8,3077,8,443,8,1.611904911033223,78,83,19840,8.2784,38
04:20:00,235,7,21045,7,9156,8,3290,8,439,8,1.6620473561554379,79,84,34165,8.2784,38
04:40:01,231,7,21274,7,8878,8,3434,8,461,8,1.6525106666106122,79,85,34278,8.2784,38
05:00:00,222,7,22286,7,9228,8,3334,8,439,8,1.6828681112804007,79,86,35509,8.2784,38
05:20:00,188,7,23452,7,8397,8,3134,8,464,8,1.7003989130642687,80,87,35635,8.2784,38
05:40:00,181,7,23225,7,9049,8,3104,8,444,8,1.6886956764720908,80,88,36003,8.2784,38
06:00:00,181,7,22186,7,9006,8,3038,8,429,8,1.6791584974118874,80,89,34840,8.2784,38
06:20:01,180,7,21637,7,10107,8,3102,8,354,8,1.6652793038340146,81,90,35380,8.2784,38
06:40:00,172,7,21519,7,9646,8,2860,8,355,8,1.6764155240000027,81,91,34552,8.2784,38
07:00:00,186,7,21948,7,10393,8,2991,8,365,8,1.660935535302875,81,92,35883,8.2784,38
07:20:00,175,7,21183,7,15056,8,3716,8,366,8,1.6660071992938963,81,93,40496,8.2784,38
07:40:00,191,7,20249,7,14689,8,3792,8,362,8,1.6445927505109759,82,94,39283,8.2784,38
08:00:00,186,7,20738,7,14613,8,3552,8,364,8,1.6527336470242378,82,95,39453,8.2784,38
08:20:00,186,7,26119,7,16553,8,4311,8,343,8,10.789286482035587,82,96,47512,8.2784,38
08:40:00,173,7,24534,7,15816,8,4270,8,361,8,12.48940435773599,82,97,45154,8.2784,38
09:00:00,181,7,25361,7,14842,8,4405,8,369,8,12.773534459861887,82,98,45158,8.2784,38
09:20:00,112,7,32116,7,14762,8,3769,8,354,8,16.839867691959995,81,99,51113,8.2784,38
09:40:00,120,7,29782,7,15461,8,3853,8,365,8,22.559827952754418,81,100,49581,8.2784,38
10:00:00,114,7,30232,7,14777,8,3797,8,361,8,22.63221747191323,81,101,49281,8.2784,38
10:20:00,118,7,26328,7,14127,8,3536,8,224,8,14.33038496317155,80,102,44333,8.2784,38
10:40:00,118,7,27139,7,14524,8,3448,8,216,8,13.202875905570906,80,103,45445,8.2784,38
11:00:00,114,7,26968,7,13994,8,3464,8,230,8,13.294837205442125,80,104,44770,8.2784,38
11:20:00,108,7,23708,7,16976,8,2956,8,216,8,12.561738778961193,80,105,43964,8.2784,38
11:40:01,118,7,23774,7,17154,8,3102,8,223,8,12.532612857430758,80,106,44371,8.2784,38
